serviceName,sousTitre,description,logoUrl,redirectionUrl,redirectionLabel,iframeUrl,extendLabel,status,leviers,competences,regions,extraFields,isListed
EnvErgo,,,,,,,,"Étude, Idée, Opération",NULL,"Aménagement et services urbains > Autres actions d'aménagement urbain, Aménagement et services urbains > Opérations d'aménagement, Aménagement des territoires et habitat / Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions, Aménagement des territoires et habitat / Aménagement et services urbains",,,TRUE
Zéro Logement vacant,,,,,,,,"Étude, Idée, Opération",NULL,"Habitat (Logement) > Logement social, Habitat (Logement)",,,TRUE
Mon diagnostic artificialisation,,,,,,,,,Sobriété foncière,NULL,,,TRUE
Trackdéchets,Trackdéchets,,,,,,,,"Valorisation matière des déchets, Prévention des déchets, Augmentation du taux de collecte","Actions déchets et propreté urbaine, Actions déchets et propreté urbaine > Collecte et traitement des déchets",,,TRUE
PrioRéno,,,,,,,,,"Sobriété des bâtiments (tertiaire), Changement chaudières fioul + rénovation (tertiaire), Changement chaudières gaz + rénovation (tertiaire)",NULL,,,TRUE
CopCerema,,,,,,,,,"Réduction des déplacements, Véhicules électriques, Fret décarboné et multimodalité, Prévention des déchets","Transports publics de voyageurs > Transport sur route, Transports / Infrastructures, Transports de marchandises",,,TRUE
UrbanSimul,,,,,,,,NULL,Sobriété foncière,"Aménagement et services urbains > Autres actions d'aménagement urbain, Aménagement et services urbains > Opérations d'aménagement, Aménagement des territoires et habitat / Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions, Aménagement des territoires et habitat / Aménagement et services urbains",,,TRUE
Facili-TACCT,,,,,,,,NULL,NULL,NULL,,,TRUE
Facili-TACCT-Test-Iframe,,,,,,,,NULL,NULL,NULL,,,TRUE
Observatoire du covoiturage,,,,,,,,NULL,Covoiturage,Transports / Liaisons multimodales,,,TRUE
Impact CO2,,,,,,,,NULL,NULL,Environnement / Actions transversales,,,TRUE
J'Agis,,,,,,,,NULL,NULL,Environnement / Actions transversales,,,TRUE
AgiRisk,,,,,,,,NULL,NULL,Actions en matière de gestion des eaux > Lutte contre les inondations,,,TRUE
CartoBio,,,,,,,,NULL,Développement de l'agriculture biologique et de HVE,"""Action économique / Actions sectorielles > Agriculture, pêche et agro-alimentaire""",,,TRUE
ClimaDIAG,,,,,,,,NULL,NULL,NULL,,,TRUE
CRATer,,,,,,,,NULL,NULL,Santé > Sécurité alimentaire,,,TRUE
Géorisques,,,,,,,,NULL,NULL,NULL,,,TRUE
Fiche action de la boîte à outils Agenda 2030,,,,,,,,NULL,NULL,Environnement / Actions transversales,,,TRUE
GeoRivière,,,,,,,,NULL,Protection des zones de captage d'eau,"Actions en matière de gestion des eaux > Politique de l'eau, Actions en matière de gestion des eaux, Transports publics de voyageurs > Transport fluvial, Transports de marchandises > Fret fluvial, ""Transports / Infrastructures > Haltes, autres infrastructures fluviales""",,,TRUE
MétéEAU Nappes,,,,,,,,NULL,Protection des zones de captage d'eau,"Actions en matière de gestion des eaux > Politique de l'eau, Actions en matière de gestion des eaux",,,TRUE
Nos Villes Vertes,,,,,,,,NULL,NULL,NULL,,,TRUE
TerriStory,Cartographie de vos énergies renouvelables,Découvrez l'analyse et les chiffres de production d'energie renouvelable sur le territoire du Pays de la Loire.  Vous pouvez accéder à de nombreuses autres analyses sur les ENR,,,,https://teo-paysdelaloire.terristory.fr/?theme=Production%20d%27%C3%A9nergie%20renouvelable&analysis=10431,,"Étude, Idée, Opération",Electricité renouvelable,Politique de l'énergie,Pays de la Loire,,TRUE
TerriStory,Cartographie de vos énergies renouvelables,Découvrez l'analyse et les chiffres de consommation d'energie renouvelable sur le territoire de la Nouvelle-Aquitaine. Vous pouvez accéder à de nombreuses autres analyses sur les ENR,,,,https://arec-nouvelleaquitaine.terristory.fr/?zone=region&maille=epci&zone_id=75&nom_territoire=Nouvelle-Aquitaine&theme=Production%20d%27%C3%A9nergie&analysis=136,,"Étude, Idée, Opération",Electricité renouvelable,Politique de l'énergie,Nouvelle-Aquitaine,,TRUE
TerriStory,,,,,,,,NULL,NULL,"Environnement infrastructures transports, Transports / Infrastructures, Transports de marchandises, Circulations douces, Habitat (Logement), Action économique / Actions sectorielles, ""Action économique / Actions sectorielles > Industrie, commerce et artisanat"", Aménagement des territoires et habitat / Politique de la ville, Action économique / Autres actions",,,TRUE
Expertises-Territoires,QUARTIERS DE DEMAIN,"Une communauté pour permettre l'émergence de nouvelles pratiques sur l'aménagement urbain ....pour des quartiers plus sobres, plus résilients, plus inclusifs et plus créatifs !",,https://www.expertises-territoires.fr/jcms/pl1_5501,,,,NULL,Sobriété foncière,"Aménagement et services urbains > Autres actions d'aménagement urbain, Aménagement et services urbains > Opérations d'aménagement, Aménagement des territoires et habitat / Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions, Aménagement des territoires et habitat / Aménagement et services urbains",,,TRUE
Expertises-Territoires,GESTION DU TRAIT DE CÔTE,"Les territoires littoraux sont particulièrement exposés aux effets du changement climatique, qui aggravent et s’ajoutent à la mobilité naturelle du trait de côte. 20% des côtes françaises sont en recul. De nombreux enjeux se trouvent menacés par les risques de submersion ou d’érosion : habitats, activités et infrastructures publiques... Les alertes toujours plus pressantes des scientifiques mettent particulièrement en lumière ces menaces et laissent penser que les scénarios les plus pessimistes risquent d’être dépassés. Les solutions traditionnelles de défense du trait de côte ne suffisent plus et se heurtent de surcroît à la préoccupation croissante pour limiter l’artificialisation du littoral.",,https://www.expertises-territoires.fr/jcms/pl1_8340,,,,NULL,NULL,"""Transports / Infrastructures > Ports, autres infrastructures portuaires"", Aménagement des territoires et habitat / Actions en faveur du littoral",,,TRUE
Expertises-Territoires,APPEL À PARTENAIRES GESTION INTÉGRÉE DU LITTORAL,La démarche initiée par l’ANEL et le Cerema vise à accompagner des territoires littoraux volontaires dans une dynamique qui permette de répondre aux problématiques locales et de dégager des pistes de solutions concrètes pour accompagner dans la durée les territoires littoraux et contribuer à faire vivre l’interface terre-mer de manière vertueuse. Cet espace est libre et tout le monde peut contribuer !,,https://www.expertises-territoires.fr/jcms/pl1_8372,,,,NULL,NULL,"""Transports / Infrastructures > Ports, autres infrastructures portuaires"", Aménagement des territoires et habitat / Actions en faveur du littoral",,,TRUE
Expertises-Territoires,CLUB CTT ARBRES EN VILLE ET CLIMAT - PROVENCE ALPES COTE D'AZUR,"Les arbres sont des éléments emblématiques de la nature en ville : ils sont de plus en plus utilisés comme vecteur pour dynamiser la stratégie de l’adaptation au changement climatique. Mais, comment leurs donner une réelle fonction dans la gestion des ilots de chaleurs urbains ? Comment les intégrer à l'espace urbain ? Comment coupler les enjeux de l’adaptation au changement climatique et de la nature en ville autour de l'arbre ? Comment optimiser ses conditions d’installation pour sa pérennité urbaine ? Discutons - en. N'oubliez pas de vous identifier en tant que membre de cette communauté pour profiter de tous les documents et outils mis à votre disposition sur cette plateforme",,https://www.expertises-territoires.fr/jcms/pl1_49099,,,,NULL,NULL,Aménagement et services urbains > Espaces verts urbains,,,TRUE
Expertises-Territoires,OBSERVATOIRE DES SOLUTIONS D'ACCESSIBILITÉ,"L'Observatoire des solutions d'accessibilité est une plateforme permettant d'accéder à des ressources sur l'accessibilité du cadre bâti et de l'ensemble de la chaîne de déplacement, il fait la part belle aux retours d'expériences par les porteurs de projet de mise en œuvre de solutions contextualisées. Ces retours d'expériences peuvent faire l'objet d'analyses et d'expertises pour évaluer la réplicabilité de la solution et la qualité de la réponse aux usages attendus.",,https://www.expertises-territoires.fr/jcms/pl1_76760,,,,NULL,NULL,"Aménagement et services urbains > Opérations d'aménagement, Aménagement et services urbains > Autres actions d'aménagement urbain, Habitat (Logement), Aménagement des territoires et habitat / Autres actions",,,TRUE
Expertises-Territoires,PORTAIL CARTOGRAPHIQUE DES ENERGIES RENOUVELABLES,"Cette communauté est un espace d'échanges et de partage de ressources autour du Portail cartographique des Energies Renouvelables pour en améliorer la diffusion et en faciliter l'appropriation sur les territoires. Elle s'adresse à tous les utilisateurs du portail cartographique des EnR et particulier les collectivités qui sont chargées d'élaborer les ""zones d'accélération"", mais aussi les services déconcentrés, les bureaux d'études, ... Chacun peut y poser ses questions, trouver des informations utiles, mettre en avant son expérience et découvrir celle des autres utilisateurs.",,https://www.expertises-territoires.fr/jcms/pl1_141463,,,,NULL,Electricité renouvelable,"Politique de l'énergie > Energie éolienne, Politique de l'énergie > Energie hydraulique, Politique de l'énergie > Energie photovoltaïque",,,TRUE
Expertises-Territoires,ENVIRONNEMENT SANTÉ,Découvrez la communauté Environnement Santé,,https://www.expertises-territoires.fr/jcms/pl1_6950,,,,NULL,NULL,Santé > Prévention et éducation pour la santé,,,TRUE
Expertises-Territoires,COMMUNAUTÉ VIABILITÉ HIVERNALE,"Cette communauté a vocation à permettre les échanges entre l'ensemble des acteurs de la viabilité hivernale : gestionnaires (DIR, CD, collectivités, SCA, aéroports...) , réseau scientifique et technique, entreprises... Y sont rattachés des groupes privés dédiés aux clubs CTT VH avec un accès réservé aux collectivités et DIR",,https://www.expertises-territoires.fr/jcms/pl1_17493,,,,NULL,NULL,Voirie > Viabilité hivernale et aléas climatiques,,,TRUE
Expertises-Territoires,ECOLES DE DEMAIN,"Cette communauté s'adresse aux collectivités et à l'ensemble des acteurs de projets scolaires (architectes, programmistes, associations, structures de conseil...), leur offrant une opportunité de partager des solutions innovantes ou de s'inspirer d'autres expériences pour aller plus loin dans leurs propres projets. Cette communauté est la vôtre. 😍 N'hésitez pas à contribuer ! Parce qu'une communauté ne vit que par l'activité de ses membres.",,https://www.expertises-territoires.fr/jcms/pl1_26867,,,,NULL,NULL,"Enseignement du premier degré > Ecoles maternelles, Enseignement du second degré, Enseignement du second degré > Lycées publics, Enseignement du second degré > Lycées privés, Enseignement supérieur, Cités scolaires",,,TRUE
Expertises-Territoires,COMMUNAUTÉ PONTS,"Cette communauté s’adresse à tous les acteurs de la gestion de patrimoines d’ouvrages d’art : maîtres d’ouvrages gestionnaires, collectivités ou Etat, bureaux d’études, entreprises, associations professionnelles, que vous soyez experts, confirmés ou a contrario en voie d’apprentissage sur le domaine. Représentants des intercommunalités ou de communes, vous y trouverez en particulier une « boîte à outils » pour vous aider à prendre en main ou développer la gestion de vos ponts et de vos murs de soutènement.",,https://www.expertises-territoires.fr/jcms/pl1_27447,,,,NULL,NULL,"Environnement infrastructures transports, Transports / Infrastructures, ""Transports / Infrastructures > Gares, autres infrastructures routières"", Transports / Infrastructures > Gares et autres infrastructures ferroviaires",,,TRUE
Expertises-Territoires,"BNTRA BUREAU DE NORMALISATION DES TRANSPORTS, DES ROUTES ET DE LEURS AMÉNAGEMENTS","Le Bureau de normalisation pour les transports, les routes et leurs aménagements (BNTRA) est le bureau sectoriel français qui couvre les domaines de la géotechnique, de la route et de ses équipements, des ouvrages d’arts ainsi que l’ingénierie du trafic au sein du Système Français de Normalisation. Le BNTRA fédère, par délégation de l’AFNOR les commissions de normalisation nationales qui élaborent les projets de normes françaises (NF), européennes (EN) et internationales (ISO) dans son champ de compétence. Il est hébergé par le Cerema, au sein de la Direction technique infrastructures de transport et matériaux (Cerema ITM). Le BNTRA a reçu un agrément par décision du délégué interministériel aux normes du 1er janvier 2024. Son projet : Avec l'appui de l'équipe permanente, les ingénieurs chefs de projets en normalisation du Cerema, experts dans leur domaine, se mobilisent auprès des professionnels de la Maîtrise d'ouvrage et de la Maîtrise d'oeuvre pour élaborer une normalisation adaptée à leurs besoins opérationnels en phase avec leurs enjeux de performance, de sécurité, de garantie et d'innovation et favoriser ainsi la réussite de leurs projets d’avenir de développement et d’aménagement du territoire, de décarbonation et d’adaptation au changement climatique.",,https://www.expertises-territoires.fr/jcms/pl1_28684,,,,NULL,NULL,"Transports publics de voyageurs > Transport sur route, Environnement infrastructures transports",,,TRUE
Expertises-Territoires,COMPENSATION CARBONE VOLONTAIRE TERRITORIALE,"Compensation carbone : quelles recommandations, quelles méthodes ? 4 webinaires pour les territoires porteurs d'une démarche de compensation. La compensation carbone est un mécanisme qui consiste à financer un projet qui évite ou séquestre des émissions de gaz à effet de serre lorsque les dispositifs de financement conventionnels ne suffisent pas pour engager le projet. Elle s'inscrit dans la stratégie de transition énergétique et climatique territoriale et vient compléter les actions de baisse des émissions de gaz à effet de serre sur le territoire. Quels sont les points d'attention, les bonnes pratiques à connaître et les méthodes pertinentes ? Voici les travaux (2021) du Cerema sur le sujet : https://www.cerema.fr/fr/actualites/fonds-carbone-locaux-compensation-carbone-territoriale Par ailleurs, pour vous aider dans vos projets, nous vous proposons une série de 4 webinaires, qui donnent la parole aux acteurs de la compensation carbone, apportent des témoignages et visent à mettre en relation les collectivités.",,https://www.expertises-territoires.fr/jcms/pl1_47550,,,,NULL,NULL,NULL,,,TRUE
Expertises-Territoires,INDICATEURS ET ÉVALUATION DES ECOQUARTIERS,"Dans le cadre du renouveau de la démarche nationale EcoQuartiers, il est important de « Garantir la performance en termes de développement durable des EcoQuartiers au regard des enjeux prioritaires du Gouvernement. » Cette transition vers une approche performancielle de la labellisation, sur la base d’une série d’une vingtaine d’indicateurs communs à tous les EcoQuartiers, vient compléter les modes d’évaluation actuels du label : autoévaluation par le candidat sur la base d’indicateurs qu’il s’est défini, expertise indépendante et décision de la commission nationale. La présente communauté a pour objectifs d'aider les porteurs de projets d'Ecoprojets et d'EcoQuartiers à mettre en place leur démarche d'évaluation et à s'approprier les indicateurs nationaux avec l'appui du Cerema.",,https://www.expertises-territoires.fr/jcms/pl1_94045,,,,NULL,Sobriété des bâtiments (résidentiel),Habitat (Logement),,,TRUE
Expertises-Territoires,STRATÉGIE COVOITURAGE RÉGULIER RÉGIONS ALPINES D'ARA,"Stratégie covoiturage régulier : lignes, plateformes, plan national et massification : nous comptons aujourd'hui plus de 23 plateformes de covoiturage régulier, ce qui est contre-productif car va à l'encontre du principe de massification de l'offre et de la demande, inhérent à une stratégie de covoiturage efficace. En parallèle, le fonds vert propose des soutiens financiers conséquents et cette année représente une période charnière pour lancer des projets de covoiturage complets, pertinents, efficaces et ambitieux, sur les territoires. Le covoitruage, par définition, dépasse les frontières administratives de nos collectivités. Nous avons donc besoin de nous concerter pour adopter une position commune et développer un projet réussi et pérenne.",,https://www.expertises-territoires.fr/jcms/pl1_95828,,,,NULL,NULL,NULL,,,TRUE
Expertises-Territoires,TITRE UNIQUE,"Face aux enjeux de décarbonation des mobilités et de report modal, le projet « titre unique » répond à une aspiration des usagers, clairement exprimée par la Convention Citoyenne pour le Climat en 2020[1]. Afin de concevoir le « titre de transport de demain », un Hackathon s’est tenu en février 2023. Deux solutions ont été sélectionnées comme lauréates. Les résultats du Hackathon ont été pris en compte comme point de départ du projet, dans le but de simplifier au maximum le parcours usager.",,https://www.expertises-territoires.fr/jcms/pl1_110399,,,,NULL,Transports en commun,Transports / Liaisons multimodales,,,TRUE
Expertises-Territoires,STANDARDS ET NORMES DE MOBILITÉ,"Bienvenue sur le portail de la standardisation des données de la mobilité. Vous êtes un opérateur de transport ? Un réutilisateur de données de mobilité ? Une start-up de la mobilité durable ? Une autorité organisatrice de la mobilité ? Un fournisseur de systèmes d'information pour les opérateurs ? Vous cherchez à vous insérer dans le marché de la Mobilité par association de services (MAS) ? À vous adapter aux évolutions réglementaires ? À rester informé des meilleures pratiques en termes de partage de données de mobilité ? Vous trouverez ici prochainement des informations et des services vous permettant de découvrir, utiliser et faire évoluer les standards et les normes qui s'appliquent en France pour encourager le développement de la mobilité durable dans le cadre des articles 25, 27 et 28 de la loi d'orientation des mobilités (LOM) de 2019.",,https://www.expertises-territoires.fr/jcms/pl1_125155,,,,NULL,NULL,NULL,,,TRUE
Expertises-Territoires,CONTRATS OPÉRATIONNELS DE MOBILITÉ - RÉGION SUD,Cet espace de travail est dédié à la co-construction des contrats opérationnels de mobilité.,,https://www.expertises-territoires.fr/jcms/pl1_226968,,,,NULL,NULL,NULL,,,TRUE
Expertises-Territoires,COMITÉ ÉNERGIE RÉGIONAL 971,"Bienvenue dans la communauté des référents énergie du Comité énergie régional 971. L'objectif de cette communauté est de mettre en oeuvre une démarche d'économies d'énergie au sein de votre parc immobilier. Cet espace de partage d'informations, de ressources et d'outils vient en complément des autres espaces de partage déjà existants tels que les communautés ""Challenge: Mobilsation"", ""Challende: Passage à l'action"", ""Concours CUBE Etat"", etc, en proposant des leviers d'actions contextualisés à notre territoire. En fonction des besoins qui vous aurez exprimé, des outils de travail seront proposés afin de faciliter vos actions dans le déploiement de la démarche de réduction de la consommation énergétique.",,https://www.expertises-territoires.fr/jcms/pl1_372214,,,,NULL,NULL,NULL,,,TRUE
Expertises-Territoires,SOLUTIONS FONDÉES SUR LA NATURE (SFN) POUR L'ADAPTATION - PAYS DE LA LOIRE,"Cet espace communautaire permet de rassembler les acteurs locaux du climat et de la biodiversité en Pays de la Loire. Il constitue un espace d'échanges, de partage et d'appui à la mise en œuvre de projets de de SfN pour l'adaptation, et contribue à diffuser et valoriser les ressources produites dans le cadre du Life ARTISAN. Vous avez également la possibilité de partager vos actualités en alimentant l'onglet ""veille"" ou l'onglet ""évènements""'.",,https://www.expertises-territoires.fr/jcms/pl1_441556,,,,NULL,NULL,NULL,,,TRUE
Observatoire National de la Biodiversité (ONB),"Consultez dans le domaine de la culture et de l'éducation les indicateurs de l’observatoire national de la biodiversité développe des indicateurs pour suivre l’état et l’évolution de la biodiversité en France, les grandes pressions qui s’exercent sur elles et les réponses apportées par la société.","Ces indicateurs font l’objet d’une évaluation scientifique indépendante et sont validés par un réseau qui regroupe organismes de recherche, établissements publics, ministères, parties prenantes civiles et professionnelles. Ils mobilisent de nombreuses sources de données en grande partie accessibles dans le cadre du Système d’information de la biodiversité.",,https://naturefrance.fr/indicateurs?f%5B0%5D=couverture_geographique%3A93&f%5B1%5D=politiques%3A226,,,,NULL,NULL,Culture,,,TRUE
Observatoire National de la Biodiversité (ONB),"Consultez, dans le domaine de l'économie et les entreprises, les indicateurs de l’observatoire national de la biodiversité développe des indicateurs pour suivre l’état et l’évolution de la biodiversité en France, les grandes pressions qui s’exercent sur elles et les réponses apportées par la société.","Ces indicateurs font l’objet d’une évaluation scientifique indépendante et sont validés par un réseau qui regroupe organismes de recherche, établissements publics, ministères, parties prenantes civiles et professionnelles. Ils mobilisent de nombreuses sources de données en grande partie accessibles dans le cadre du Système d’information de la biodiversité.",,https://naturefrance.fr/indicateurs?f%5B0%5D=politiques%3A226&f%5B1%5D=politiques%3A591,,,,NULL,NULL,"Action économique / Interventions économiques transversales, Action économique / Structure d'animation et de développement économique, Action économique / Actions sectorielles, ""Action économique / Actions sectorielles > Industrie, commerce et artisanat""",,,TRUE
Observatoire National de la Biodiversité (ONB),"Consultez, dans le domaine de la gestion des espaces naturels, les indicateurs de l’observatoire national de la biodiversité développe des indicateurs pour suivre l’état et l’évolution de la biodiversité en France, les grandes pressions qui s’exercent sur elles et les réponses apportées par la société.","Ces indicateurs font l’objet d’une évaluation scientifique indépendante et sont validés par un réseau qui regroupe organismes de recherche, établissements publics, ministères, parties prenantes civiles et professionnelles. Ils mobilisent de nombreuses sources de données en grande partie accessibles dans le cadre du Système d’information de la biodiversité.",,https://naturefrance.fr/indicateurs?f%5B0%5D=politiques%3A226&f%5B1%5D=politiques%3A591&f%5B2%5D=politiques%3A593,,,,NULL,NULL,"Aménagement des territoires et habitat / Espace rural et autres espaces de développement, Aménagement et services urbains > Espaces verts urbains",,,TRUE
,,,,,,,,,,,,,TRUE
Ma Cantine,Suivez l'application de la loi EGalim sur votre territoire,,,,,,,NULL,Respect d'Egalim pour la restauration collective,NULL,,,TRUE
Longue Vie aux Objets,La carte des acteurs de l'économie circulaire pour valoriser la réparation et le réemploi sur son territoire,"Longue Vie Aux Objets propose aux collectivités un outil numérique pour mettre en avant les adresses de son territoire pour déposer des déchets, mais aussi réparer et réemployer des objets (don, vente, location) ! Cette carte dynamique a vocation à être intégrée gratuitement au site internet de la collectivité dans le cadre du PLPDMA, pour accélérer la transition vers l'économie circulaire à l'échelle du territoire.",,,,https://lvao.ademe.fr/carte?action_list=reparer%7Cdonner%7Cechanger%7Cpreter%7Cemprunter%7Clouer%7Cmettreenlocation%7Cacheter%7Crevendre&epci_codes={epciCodeSiren}&limit=50,,NULL,"Augmentation du taux de collecte, Prévention des déchets, Valorisation matière des déchets, Moindre stockage en décharge",Actions déchets et propreté urbaine > Collecte et traitement des déchets,,,TRUE
Longue Vie aux Objets,"Que Faire De Mes Objets & Déchets, l'assistant au tri pour sensibiliser vos usagers aux bons gestes de tri et à l'allongement de la durée de vie des objets","Longue Vie Aux Objets propose aux collectivités un outil numérique pour sensibiliser les usagers aux bonnes consignes et adresses près de chez soi pour bien trier ses déchets, mais aussi réparer et réemployer ses objets ! Cet assistant au tri, Que Faire De Mes Objets & Déchets, a vocation à être intégré gratuitement au site internet de la collectivité dans le cadre du PLPDMA, pour faciliter le recyclage, éviter l'achat neuf et contribuer à la réduction des déchets.",,,,https://quefairedemesdechets.ademe.fr/dechet/chaussures/carte/?epci_codes={epciCodeSiren},,NULL,"Augmentation du taux de collecte, Prévention des déchets, Valorisation matière des déchets, Moindre stockage en décharge",Actions déchets et propreté urbaine > Collecte et traitement des déchets,,,FALSE
Guide des atlas de la biodiversité communale,"Un Atlas de la biodiversité communale (ABC) est une démarche qui permet à une commune, ou une « structure intercommunale », de connaître, de préserver et de valoriser son patrimoine naturel. Chaque année, l'Office français de la biodiversité soutient de nombreux projets d'ABC.",,,,,,,NULL,NULL,"""Environnement / Préservation patrimoine naturel,risques technologiques""",,,TRUE
Nos Gestes Climat,,,,,,,,NULL,NULL,NULL,,,TRUE
Plus fraîche ma ville,,,,,,,,,"NULL, Sobriété foncière, Résorption des points noirs prioritaires de continuité écologique, Restauration des habitats naturels, Rénovation (hors changement chaudières), Sobriété des bâtiments (résidentiel), Sobriété des bâtiments (tertiaire), Gaz fluorés résidentiel, Gaz fluorés tertiaire, Désimperméabilisation des sols","NULL, Aménagement des territoires et habitat / Aménagement et services urbains, Politique de l'air, Politique de l'énergie, Aménagement des territoires et habitat / Politique de la ville, Aménagement des territoires et habitat / Agglomérations et villes moyennes, Aménagement des territoires et habitat / Espace rural et autres espaces de développement, Habitat (Logement), Aménagement des territoires et habitat / Actions en faveur du littoral, Action économique / Actions sectorielles, Actions en matière de gestion des eaux, Voirie",,,TRUE
,,,,,,,,NULL,NULL,NULL,,,
,,,,,,,,NULL,NULL,NULL,,,
,,,,,,,,NULL,NULL,NULL,,,
,,,,,,,,NULL,NULL,NULL,,,
,,,,,,,,NULL,NULL,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
,,,,,,,,,,NULL,,,
